Date,Adj Close,Close,High,Low,Open,Volume
2023-11-24,250.5911102294922,254.3000030517578,254.6999969482422,253.5,254.19000244140625,1640900
2023-11-27,250.43345642089844,254.13999938964844,254.97999572753906,252.52000427246094,254.3000030517578,5478900
2023-11-28,249.25094604492188,252.94000244140625,254.14999389648438,251.61000061035156,253.85000610351562,5234900
2023-11-29,250.5221405029297,254.22999572753906,256.07000732421875,253.52000427246094,253.9199981689453,4955100
2023-11-30,252.93641662597656,256.67999267578125,256.7699890136719,253.1699981689453,254.25,6874700
2023-12-01,252.7097625732422,256.45001220703125,256.9100036621094,253.89999389648438,255.7899932861328,3939400
2023-12-04,250.7290802001953,254.44000244140625,257.3900146484375,254.35000610351562,255.91000366210938,5247500
2023-12-05,250.89659118652344,254.61000061035156,254.82000732421875,252.13999938964844,254.19000244140625,4199100
2023-12-06,250.5812530517578,254.2899932861328,256.8299865722656,253.52999877929688,255.8000030517578,3874000
2023-12-07,252.08895874023438,255.82000732421875,256.1400146484375,253.5,254.88999938964844,3589300
2023-12-08,252.01014709472656,255.74000549316406,256.0400085449219,253.8699951171875,255.0,3732300
2023-12-11,252.77871704101562,256.5199890136719,257.6300048828125,255.0,255.0,6479300
2023-12-12,255.77438354492188,259.55999755859375,259.7200012207031,256.3999938964844,257.29998779296875,5946600
2023-12-13,258.5532531738281,262.3800048828125,262.4800109863281,258.69000244140625,259.1499938964844,4859900
2023-12-14,254.95652770996094,258.7300109863281,263.25,256.3999938964844,263.19000244140625,8168700
2023-12-15,254.26669311523438,258.0299987792969,258.3699951171875,254.4499969482422,254.50999450683594,13374000
2023-12-18,254.6017303466797,258.3699951171875,259.5899963378906,257.95001220703125,258.70001220703125,6041100
2023-12-19,256.1981506347656,259.989990234375,260.3399963378906,257.20001220703125,258.6099853515625,8731200
2023-12-20,253.36013793945312,257.1099853515625,260.82000732421875,257.0799865722656,260.5,7240900
2023-12-21,255.7547149658203,259.5400085449219,259.989990234375,257.0400085449219,257.510009765625,6246700
2023-12-22,254.6608428955078,258.42999267578125,261.2099914550781,258.2200012207031,260.0,5111500
2023-12-26,255.38026428222656,259.1600036621094,259.739990234375,258.5299987792969,258.5299987792969,2085100
2023-12-27,255.15359497070312,258.92999267578125,259.7699890136719,258.30999755859375,259.25,4034700
2023-12-28,256.6021423339844,260.3999938964844,260.9700012207031,258.5400085449219,258.5400085449219,3020500
2023-12-29,256.5528564453125,260.3500061035156,261.4599914550781,259.6700134277344,260.57000732421875,4074900
2024-01-02,255.09449768066406,258.8699951171875,260.0899963378906,257.6700134277344,259.6099853515625,5471000
2024-01-03,254.2174530029297,257.9800109863281,258.8599853515625,256.8599853515625,258.54998779296875,4148300
2024-01-04,255.82362365722656,259.6099853515625,261.0400085449219,258.0,258.07000732421875,3843000
2024-01-05,255.90252685546875,259.69000244140625,261.4599914550781,258.75,260.7799987792969,3748400
2024-01-08,258.7109375,262.5400085449219,262.6199951171875,259.95001220703125,260.94000244140625,4659000
2024-01-09,259.4893493652344,263.3299865722656,263.6199951171875,261.1400146484375,262.0,7055800
2024-01-10,260.7015075683594,264.55999755859375,265.3699951171875,262.8599853515625,264.9700012207031,4355800
2024-01-11,260.1791687011719,264.0299987792969,266.19000244140625,262.3999938964844,265.4599914550781,5599000
2024-01-12,260.31719970703125,264.1700134277344,265.54998779296875,263.7099914550781,265.1300048828125,4656100
2024-01-16,261.3715515136719,265.239990234375,265.6600036621094,262.3500061035156,263.5199890136719,6196400
2024-01-17,262.7413024902344,266.6300048828125,267.1000061035156,264.3900146484375,264.4200134277344,5118700
2024-01-18,264.2292785644531,268.1400146484375,268.7799987792969,266.4200134277344,267.8800048828125,6694300
2024-01-19,266.9490051269531,270.8999938964844,271.1499938964844,267.04998779296875,268.17999267578125,7226500
2024-01-22,267.2447204589844,271.20001220703125,272.3500061035156,270.3599853515625,272.239990234375,5984300
2024-01-23,267.3038024902344,271.260009765625,271.8699951171875,269.9100036621094,271.54998779296875,5883000
2024-01-24,267.6880187988281,271.6499938964844,272.8599853515625,271.0799865722656,272.57000732421875,5021700
2024-01-25,268.6340637207031,272.6099853515625,272.7799987792969,270.79998779296875,271.95001220703125,6894900
2024-01-26,264.03216552734375,267.94000244140625,270.8699951171875,265.6000061035156,265.94000244140625,8586500
2024-01-29,269.6687316894531,273.6600036621094,275.07000732421875,266.7099914550781,266.9700012207031,6574500
2024-01-30,273.10784912109375,277.1499938964844,278.6400146484375,274.19000244140625,274.5899963378906,6549000
2024-01-31,269.27459716796875,273.260009765625,279.989990234375,273.17999267578125,277.1199951171875,6139300
2024-02-01,273.00933837890625,277.04998779296875,277.19000244140625,273.3599853515625,273.3900146484375,7065000
2024-02-02,273.1374816894531,277.17999267578125,278.5,275.67999267578125,277.6099853515625,4848700
2024-02-05,271.56072998046875,275.5799865722656,278.0,275.1300048828125,277.3999938964844,4899100
2024-02-06,272.72357177734375,276.760009765625,276.8800048828125,274.0299987792969,274.79998779296875,4400000
2024-02-07,275.3152160644531,279.3900146484375,279.5400085449219,277.05999755859375,279.3800048828125,4785900
2024-02-08,272.2645568847656,275.7799987792969,279.6600036621094,275.2799987792969,279.5400085449219,5833400
2024-02-09,272.9062805175781,276.42999267578125,277.17999267578125,274.0899963378906,275.0,4618300
2024-02-12,271.5636291503906,275.07000732421875,276.6700134277344,274.239990234375,276.42999267578125,3676200
2024-02-13,272.294189453125,275.80999755859375,278.0,272.760009765625,273.75,5493800
